scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,pf_Classical_Rolling,pf_Liu_F_offline,pf_RRH_FD_075,pf_RRH_FD_085,pf_RRH_FD_adaptive,pm_Classical_Rolling,pm_Liu_F_offline,pm_RRH_FD_075,pm_RRH_FD_085,pm_RRH_FD_adaptive,td_mean_Classical_Rolling,td_mean_Liu_F_offline,td_mean_RRH_FD_075,td_mean_RRH_FD_085,td_mean_RRH_FD_adaptive,det_H25_rate_Classical_Rolling,det_H25_rate_Liu_F_offline,det_H25_rate_RRH_FD_075,det_H25_rate_RRH_FD_085,det_H25_rate_RRH_FD_adaptive,det_H50_rate_Classical_Rolling,det_H50_rate_Liu_F_offline,det_H50_rate_RRH_FD_075,det_H50_rate_RRH_FD_085,det_H50_rate_RRH_FD_adaptive,det_H100_rate_Classical_Rolling,det_H100_rate_Liu_F_offline,det_H100_rate_RRH_FD_075,det_H100_rate_RRH_FD_085,det_H100_rate_RRH_FD_adaptive,mean_logBIR_Classical_Rolling,mean_logBIR_Liu_F_offline,mean_logBIR_RRH_FD_075,mean_logBIR_RRH_FD_085,mean_logBIR_RRH_FD_adaptive,max_logBIR_Classical_Rolling,max_logBIR_Liu_F_offline,max_logBIR_RRH_FD_075,max_logBIR_RRH_FD_085,max_logBIR_RRH_FD_adaptive,delta_td_adaptive_minus_classical,delta_pm_adaptive_minus_classical,delta_H25_adaptive_minus_classical,delta_H50_adaptive_minus_classical,delta_H100_adaptive_minus_classical,delta_td_adaptive_minus_liu,delta_pm_adaptive_minus_liu,delta_H50_adaptive_minus_liu
1,clean,step,0.06,50,0,none,none,0,0.875,0.04643652561247216,0.05044097995545657,0.04762583518930958,0.051080178173719376,0.0484543429844098,0.9525096602265156,0.9215782811459027,0.9514017321785476,0.9478347768154564,0.9504203864090606,18.041,26.154,20.329,18.397,19.285,0.736,0.574,0.695,0.728,0.718,0.952,0.84,0.91,0.941,0.927,0.996,0.976,0.99,0.993,0.993,0.06520925890215397,0.06520925890215397,0.11249798326551433,0.08108779775377963,0.06520925890215397,0.46517714565466406,0.46517714565466406,0.6173004413367248,0.517838671289225,0.46517714565466406,1.2439999999999998,-0.0020892738174550507,-0.018000000000000016,-0.02499999999999991,-0.0030000000000000027,-6.869,0.02884210526315789,0.08700000000000008
2,clean,oscillation,0.06,50,0,none,none,0,0.875,0.04735412026726058,0.041171492204899775,0.04838752783964365,0.05200668151447661,0.04937416481069042,0.9523637574950033,0.9916568954030647,0.9509513657561626,0.947493670886076,0.9501219187208527,18.132,81.73850868232891,20.513,18.807,19.193,0.736,0.449,0.706,0.733,0.718,0.949,0.661,0.915,0.933,0.928,0.998,0.787,0.989,0.992,0.993,0.0639373412638634,0.0639373412638634,0.1117353738693753,0.07932558131106368,0.0639373412638634,0.4663517153046237,0.4663517153046237,0.6164159431719485,0.5218666446376041,0.4663517153046237,1.061,-0.0022418387741506285,-0.018000000000000016,-0.020999999999999908,-0.0050000000000000044,-62.545508682328915,-0.041534976682211955,0.267
3,clean,gradual,0.06,50,0,none,none,0,0.875,0.04734298440979955,0.057407572383073494,0.04855456570155902,0.05192204899777283,0.04935189309576837,0.9524303797468354,0.9430799467021985,0.951286475682878,0.9475849433710859,0.950292471685543,18.422,25.269,21.054,18.957,19.908,0.743,0.744,0.712,0.736,0.72,0.937,0.849,0.9,0.917,0.913,0.996,0.942,0.991,0.997,0.997,0.060399105727601994,0.060399105727601994,0.10558118591623186,0.07488356943548596,0.060399105727601994,0.45354710387103936,0.45354710387103936,0.5960593653987739,0.505958815494101,0.45354710387103936,1.4860000000000007,-0.0021379080612924373,-0.02300000000000002,-0.02400000000000002,0.0010000000000000009,-5.360999999999997,0.007212524983344459,0.06400000000000006
4,clean,intermittent,0.06,50,0,none,none,0,0.875,0.0466815144766147,0.04097550111358575,0.04811135857461025,0.05140534521158129,0.048819599109131404,0.9520946035976016,0.9527961359093937,0.9509800133244504,0.9473184543637575,0.9499453697534976,17.432,46.284,19.895,18.467,19.458,0.75,0.467,0.722,0.739,0.716,0.954,0.713,0.915,0.931,0.919,0.999,0.888,0.991,0.993,0.995,0.06207227794173671,0.06207227794173671,0.10878348913205269,0.07691403032471525,0.06207227794173671,0.4516726995638033,0.4516726995638033,0.60210306428295,0.5070648205362649,0.4516726995638033,2.026,-0.002149233844103926,-0.03400000000000003,-0.03499999999999992,-0.0040000000000000036,-26.826,-0.0028507661558960784,0.20600000000000007
5,clean,step,0.06,80,0,none,none,0,0.921875,0.0521909307875895,0.04876610978520286,0.050532219570405726,0.054431980906921244,0.05180190930787589,0.9465089940039974,0.9227081945369754,0.9477581612258494,0.9438227848101266,0.9466755496335776,16.996,30.536,18.973,17.475,18.396,0.765,0.563,0.734,0.762,0.742,0.941,0.821,0.921,0.934,0.922,0.999,0.956,0.996,0.996,0.997,0.03964703553848818,0.03964703553848818,0.07372417088584272,0.04265969023646794,0.03964703553848818,0.27957438944772417,0.27957438944772417,0.3876092140852812,0.3139838184060271,0.27957438944772417,1.4000000000000021,1.6655562958023395e-4,-0.02300000000000002,-0.018999999999999906,-0.0020000000000000018,-12.14,0.023967355096602194,0.10100000000000009
6,clean,oscillation,0.06,80,0,none,none,0,0.921875,0.05173508353221957,0.04485202863961814,0.05082816229116945,0.05430071599045346,0.051732696897374704,0.9465343104596935,0.9509340439706863,0.9479713524317122,0.9440413057961359,0.9469613590939374,15.699,42.033,18.439,16.663,17.692,0.8,0.477,0.755,0.793,0.775,0.962,0.747,0.922,0.936,0.925,0.998,0.883,0.995,0.998,0.994,0.037790576678903724,0.037790576678903724,0.06524707992516142,0.03902274334610359,0.037790576678903724,0.2805747625782991,0.2805747625782991,0.374429189150272,0.30757149435727393,0.2805747625782991,1.9930000000000003,4.270486342439206e-4,-0.025000000000000022,-0.03699999999999992,-0.0040000000000000036,-24.341,-0.003972684876748844,0.17800000000000005
7,clean,gradual,0.06,80,0,none,none,0,0.921875,0.05233651551312649,0.04654892601431981,0.050763723150357994,0.05482100238663484,0.05197136038186158,0.9461492338441039,0.9447401732178548,0.9477181878747502,0.9438141239173884,0.9466735509660227,17.463,27.618,19.848,18.06,18.533,0.756,0.61,0.715,0.746,0.744,0.943,0.871,0.911,0.937,0.929,0.996,0.951,0.994,0.997,0.997,0.03759949555294524,0.03759949555294524,0.067420563789264365,0.0382938392382105,0.03759949555294524,0.270332909391295,0.270332909391295,0.36968002764263813,0.2990529849852275,0.270332909391295,1.0700000000000003,5.243171219188048e-4,-0.01200000000000001,-0.013999999999999901,0.0010000000000000009,-9.084999999999997,0.0019333777481679304,0.05800000000000005
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,0.052570405727923625,0.048725536992840095,0.05064200477326969,0.054644391408114557,0.0519307875894988,0.9453684210526315,0.9652784810126582,0.9469000666222518,0.9427541638907395,0.9457395069953365,16.385,26.153,17.91,17.08,17.815,0.774,0.532,0.737,0.758,0.746,0.961,0.886,0.94,0.95,0.944,0.999,0.977,0.998,0.998,0.997,0.04239210350024416,0.04239210350024416,0.07450561993690986,0.04516092137076339,0.04239210350024416,0.2814610167852654,0.2814610167852654,0.3888586127182722,0.31836310157630204,0.2814610167852654,1.4299999999999997,3.7108594270496287e-4,-0.028000000000000025,-0.017000000000000015,-0.0020000000000000018,-8.337999999999997,-0.019538974017321742,0.05799999999999994
