study,method,pf,pm,td_mean,det_H25_rate,det_H50_rate,det_H100_rate,mean_logBIR
clean,Classical_Rolling,0.04958101004087577,0.9492449200532977,17.32125,0.7575000000000001,0.949875,0.997625,0.051130899388242175
clean,Liu_F_offline,0.04736101838612456,0.9490965189873418,38.22318858529111,0.552,0.7985,0.9199999999999999,0.051130899388242175
clean,RRH_FD_075,0.04943067463629067,0.9493709193870753,19.620125,0.722,0.9167500000000001,0.993,0.08993693334004407
clean,RRH_FD_085,0.05307654307370928,0.9455830279813457,17.98825,0.749375,0.934875,0.9955,0.05966852162707374
clean,RRH_FD_adaptive,0.05042959427207637,0.9483537641572285,18.785,0.734875,0.925875,0.995375,0.051130899388242175
