scenario_id,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,method,n_reps,pf,pm,td_mean,td_median,detection_rate,det_H25_rate,det_H50_rate,det_H100_rate,mean_logBIR,max_logBIR
6,clean,oscillation,0.06,80,0,none,none,0,0.921875,RRH_FD_075,1000,0.05082816229116945,0.9479713524317122,18.439,12,1,0.755,0.922,0.995,0.06524707992516142,0.374429189150272
6,clean,oscillation,0.06,80,0,none,none,0,0.921875,RRH_FD_085,1000,0.05430071599045346,0.9440413057961359,16.663,11,1,0.793,0.936,0.998,0.03902274334610359,0.30757149435727393
6,clean,oscillation,0.06,80,0,none,none,0,0.921875,RRH_FD_adaptive,1000,0.051732696897374704,0.9469613590939374,17.692,11,1,0.775,0.925,0.994,0.037790576678903724,0.2805747625782991
7,clean,gradual,0.06,80,0,none,none,0,0.921875,Classical_Rolling,1000,0.05233651551312649,0.9461492338441039,17.463,12,1,0.756,0.943,0.996,0.03759949555294524,0.270332909391295
7,clean,gradual,0.06,80,0,none,none,0,0.921875,Liu_F_offline,1000,0.04654892601431981,0.9447401732178548,27.618,16,1,0.61,0.871,0.951,0.03759949555294524,0.270332909391295
7,clean,gradual,0.06,80,0,none,none,0,0.921875,RRH_FD_075,1000,0.050763723150357994,0.9477181878747502,19.848,13,1,0.715,0.911,0.994,0.067420563789264365,0.36968002764263813
7,clean,gradual,0.06,80,0,none,none,0,0.921875,RRH_FD_085,1000,0.05482100238663484,0.9438141239173884,18.06,12,1,0.746,0.937,0.997,0.0382938392382105,0.2990529849852275
7,clean,gradual,0.06,80,0,none,none,0,0.921875,RRH_FD_adaptive,1000,0.05197136038186158,0.9466735509660227,18.533,13,1,0.744,0.929,0.997,0.03759949555294524,0.270332909391295
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,Classical_Rolling,1000,0.052570405727923625,0.9453684210526315,16.385,12,1,0.774,0.961,0.999,0.04239210350024416,0.2814610167852654
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,Liu_F_offline,1000,0.048725536992840095,0.9652784810126582,26.153,20,1,0.532,0.886,0.977,0.04239210350024416,0.2814610167852654
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,RRH_FD_075,1000,0.05064200477326969,0.9469000666222518,17.91,12,1,0.737,0.94,0.998,0.07450561993690986,0.3888586127182722
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,RRH_FD_085,1000,0.054644391408114557,0.9427541638907395,17.08,12,1,0.758,0.95,0.998,0.04516092137076339,0.31836310157630204
8,clean,intermittent,0.06,80,0,none,none,0,0.921875,RRH_FD_adaptive,1000,0.0519307875894988,0.9457395069953365,17.815,12,1,0.746,0.944,0.997,0.04239210350024416,0.2814610167852654
